"sim_ID","frag","ac","hab","nb","disp","disp_dist","edge"
1,0.1,0.1,0.15,0.1,1,1,0.6
2,0.2,0.1,0.15,0.1,1,1,0.6
3,0.3,0.1,0.15,0.1,1,1,0.6
4,0.4,0.1,0.15,0.1,1,1,0.6
5,0.5,0.1,0.15,0.1,1,1,0.6
6,0.6,0.1,0.15,0.1,1,1,0.6
7,0.7,0.1,0.15,0.1,1,1,0.6
8,0.8,0.1,0.15,0.1,1,1,0.6
9,0.9,0.1,0.15,0.1,1,1,0.6
10,0.1,0.1,0.15,0.1,1,1.5,0.6
11,0.2,0.1,0.15,0.1,1,1.5,0.6
12,0.3,0.1,0.15,0.1,1,1.5,0.6
13,0.4,0.1,0.15,0.1,1,1.5,0.6
14,0.5,0.1,0.15,0.1,1,1.5,0.6
15,0.6,0.1,0.15,0.1,1,1.5,0.6
16,0.7,0.1,0.15,0.1,1,1.5,0.6
17,0.8,0.1,0.15,0.1,1,1.5,0.6
18,0.9,0.1,0.15,0.1,1,1.5,0.6
19,0.1,0.1,0.15,0.1,1,2,0.6
20,0.2,0.1,0.15,0.1,1,2,0.6
21,0.3,0.1,0.15,0.1,1,2,0.6
22,0.4,0.1,0.15,0.1,1,2,0.6
23,0.5,0.1,0.15,0.1,1,2,0.6
24,0.6,0.1,0.15,0.1,1,2,0.6
25,0.7,0.1,0.15,0.1,1,2,0.6
26,0.8,0.1,0.15,0.1,1,2,0.6
27,0.9,0.1,0.15,0.1,1,2,0.6
28,0.1,0.1,0.15,0.1,1,2.5,0.6
29,0.2,0.1,0.15,0.1,1,2.5,0.6
30,0.3,0.1,0.15,0.1,1,2.5,0.6
31,0.4,0.1,0.15,0.1,1,2.5,0.6
32,0.5,0.1,0.15,0.1,1,2.5,0.6
33,0.6,0.1,0.15,0.1,1,2.5,0.6
34,0.7,0.1,0.15,0.1,1,2.5,0.6
35,0.8,0.1,0.15,0.1,1,2.5,0.6
36,0.9,0.1,0.15,0.1,1,2.5,0.6
37,0.1,0.1,0.15,0.1,1,3,0.6
38,0.2,0.1,0.15,0.1,1,3,0.6
39,0.3,0.1,0.15,0.1,1,3,0.6
40,0.4,0.1,0.15,0.1,1,3,0.6
41,0.5,0.1,0.15,0.1,1,3,0.6
42,0.6,0.1,0.15,0.1,1,3,0.6
43,0.7,0.1,0.15,0.1,1,3,0.6
44,0.8,0.1,0.15,0.1,1,3,0.6
45,0.9,0.1,0.15,0.1,1,3,0.6
46,0.1,0.1,0.15,0.1,1,3.5,0.6
47,0.2,0.1,0.15,0.1,1,3.5,0.6
48,0.3,0.1,0.15,0.1,1,3.5,0.6
49,0.4,0.1,0.15,0.1,1,3.5,0.6
50,0.5,0.1,0.15,0.1,1,3.5,0.6
51,0.6,0.1,0.15,0.1,1,3.5,0.6
52,0.7,0.1,0.15,0.1,1,3.5,0.6
53,0.8,0.1,0.15,0.1,1,3.5,0.6
54,0.9,0.1,0.15,0.1,1,3.5,0.6
55,0.1,0.1,0.15,0.1,1,4,0.6
56,0.2,0.1,0.15,0.1,1,4,0.6
57,0.3,0.1,0.15,0.1,1,4,0.6
58,0.4,0.1,0.15,0.1,1,4,0.6
59,0.5,0.1,0.15,0.1,1,4,0.6
60,0.6,0.1,0.15,0.1,1,4,0.6
61,0.7,0.1,0.15,0.1,1,4,0.6
62,0.8,0.1,0.15,0.1,1,4,0.6
63,0.9,0.1,0.15,0.1,1,4,0.6
64,0.1,0.1,0.15,0.1,1,4.5,0.6
65,0.2,0.1,0.15,0.1,1,4.5,0.6
66,0.3,0.1,0.15,0.1,1,4.5,0.6
67,0.4,0.1,0.15,0.1,1,4.5,0.6
68,0.5,0.1,0.15,0.1,1,4.5,0.6
69,0.6,0.1,0.15,0.1,1,4.5,0.6
70,0.7,0.1,0.15,0.1,1,4.5,0.6
71,0.8,0.1,0.15,0.1,1,4.5,0.6
72,0.9,0.1,0.15,0.1,1,4.5,0.6
73,0.1,0.1,0.15,0.1,1,5,0.6
74,0.2,0.1,0.15,0.1,1,5,0.6
75,0.3,0.1,0.15,0.1,1,5,0.6
76,0.4,0.1,0.15,0.1,1,5,0.6
77,0.5,0.1,0.15,0.1,1,5,0.6
78,0.6,0.1,0.15,0.1,1,5,0.6
79,0.7,0.1,0.15,0.1,1,5,0.6
80,0.8,0.1,0.15,0.1,1,5,0.6
81,0.9,0.1,0.15,0.1,1,5,0.6
82,0.1,0.1,0.15,0.1,1,5.5,0.6
83,0.2,0.1,0.15,0.1,1,5.5,0.6
84,0.3,0.1,0.15,0.1,1,5.5,0.6
85,0.4,0.1,0.15,0.1,1,5.5,0.6
86,0.5,0.1,0.15,0.1,1,5.5,0.6
87,0.6,0.1,0.15,0.1,1,5.5,0.6
88,0.7,0.1,0.15,0.1,1,5.5,0.6
89,0.8,0.1,0.15,0.1,1,5.5,0.6
90,0.9,0.1,0.15,0.1,1,5.5,0.6
91,0.1,0.1,0.15,0.1,1,1,0.7
92,0.2,0.1,0.15,0.1,1,1,0.7
93,0.3,0.1,0.15,0.1,1,1,0.7
94,0.4,0.1,0.15,0.1,1,1,0.7
95,0.5,0.1,0.15,0.1,1,1,0.7
96,0.6,0.1,0.15,0.1,1,1,0.7
97,0.7,0.1,0.15,0.1,1,1,0.7
98,0.8,0.1,0.15,0.1,1,1,0.7
99,0.9,0.1,0.15,0.1,1,1,0.7
100,0.1,0.1,0.15,0.1,1,1.5,0.7
101,0.2,0.1,0.15,0.1,1,1.5,0.7
102,0.3,0.1,0.15,0.1,1,1.5,0.7
103,0.4,0.1,0.15,0.1,1,1.5,0.7
104,0.5,0.1,0.15,0.1,1,1.5,0.7
105,0.6,0.1,0.15,0.1,1,1.5,0.7
106,0.7,0.1,0.15,0.1,1,1.5,0.7
107,0.8,0.1,0.15,0.1,1,1.5,0.7
108,0.9,0.1,0.15,0.1,1,1.5,0.7
109,0.1,0.1,0.15,0.1,1,2,0.7
110,0.2,0.1,0.15,0.1,1,2,0.7
111,0.3,0.1,0.15,0.1,1,2,0.7
112,0.4,0.1,0.15,0.1,1,2,0.7
113,0.5,0.1,0.15,0.1,1,2,0.7
114,0.6,0.1,0.15,0.1,1,2,0.7
115,0.7,0.1,0.15,0.1,1,2,0.7
116,0.8,0.1,0.15,0.1,1,2,0.7
117,0.9,0.1,0.15,0.1,1,2,0.7
118,0.1,0.1,0.15,0.1,1,2.5,0.7
119,0.2,0.1,0.15,0.1,1,2.5,0.7
120,0.3,0.1,0.15,0.1,1,2.5,0.7
121,0.4,0.1,0.15,0.1,1,2.5,0.7
122,0.5,0.1,0.15,0.1,1,2.5,0.7
123,0.6,0.1,0.15,0.1,1,2.5,0.7
124,0.7,0.1,0.15,0.1,1,2.5,0.7
125,0.8,0.1,0.15,0.1,1,2.5,0.7
126,0.9,0.1,0.15,0.1,1,2.5,0.7
127,0.1,0.1,0.15,0.1,1,3,0.7
128,0.2,0.1,0.15,0.1,1,3,0.7
129,0.3,0.1,0.15,0.1,1,3,0.7
130,0.4,0.1,0.15,0.1,1,3,0.7
131,0.5,0.1,0.15,0.1,1,3,0.7
132,0.6,0.1,0.15,0.1,1,3,0.7
133,0.7,0.1,0.15,0.1,1,3,0.7
134,0.8,0.1,0.15,0.1,1,3,0.7
135,0.9,0.1,0.15,0.1,1,3,0.7
136,0.1,0.1,0.15,0.1,1,3.5,0.7
137,0.2,0.1,0.15,0.1,1,3.5,0.7
138,0.3,0.1,0.15,0.1,1,3.5,0.7
139,0.4,0.1,0.15,0.1,1,3.5,0.7
140,0.5,0.1,0.15,0.1,1,3.5,0.7
141,0.6,0.1,0.15,0.1,1,3.5,0.7
142,0.7,0.1,0.15,0.1,1,3.5,0.7
143,0.8,0.1,0.15,0.1,1,3.5,0.7
144,0.9,0.1,0.15,0.1,1,3.5,0.7
145,0.1,0.1,0.15,0.1,1,4,0.7
146,0.2,0.1,0.15,0.1,1,4,0.7
147,0.3,0.1,0.15,0.1,1,4,0.7
148,0.4,0.1,0.15,0.1,1,4,0.7
149,0.5,0.1,0.15,0.1,1,4,0.7
150,0.6,0.1,0.15,0.1,1,4,0.7
151,0.7,0.1,0.15,0.1,1,4,0.7
152,0.8,0.1,0.15,0.1,1,4,0.7
153,0.9,0.1,0.15,0.1,1,4,0.7
154,0.1,0.1,0.15,0.1,1,4.5,0.7
155,0.2,0.1,0.15,0.1,1,4.5,0.7
156,0.3,0.1,0.15,0.1,1,4.5,0.7
157,0.4,0.1,0.15,0.1,1,4.5,0.7
158,0.5,0.1,0.15,0.1,1,4.5,0.7
159,0.6,0.1,0.15,0.1,1,4.5,0.7
160,0.7,0.1,0.15,0.1,1,4.5,0.7
161,0.8,0.1,0.15,0.1,1,4.5,0.7
162,0.9,0.1,0.15,0.1,1,4.5,0.7
163,0.1,0.1,0.15,0.1,1,5,0.7
164,0.2,0.1,0.15,0.1,1,5,0.7
165,0.3,0.1,0.15,0.1,1,5,0.7
166,0.4,0.1,0.15,0.1,1,5,0.7
167,0.5,0.1,0.15,0.1,1,5,0.7
168,0.6,0.1,0.15,0.1,1,5,0.7
169,0.7,0.1,0.15,0.1,1,5,0.7
170,0.8,0.1,0.15,0.1,1,5,0.7
171,0.9,0.1,0.15,0.1,1,5,0.7
172,0.1,0.1,0.15,0.1,1,5.5,0.7
173,0.2,0.1,0.15,0.1,1,5.5,0.7
174,0.3,0.1,0.15,0.1,1,5.5,0.7
175,0.4,0.1,0.15,0.1,1,5.5,0.7
176,0.5,0.1,0.15,0.1,1,5.5,0.7
177,0.6,0.1,0.15,0.1,1,5.5,0.7
178,0.7,0.1,0.15,0.1,1,5.5,0.7
179,0.8,0.1,0.15,0.1,1,5.5,0.7
180,0.9,0.1,0.15,0.1,1,5.5,0.7
181,0.1,0.1,0.15,0.1,1,1,0.8
182,0.2,0.1,0.15,0.1,1,1,0.8
183,0.3,0.1,0.15,0.1,1,1,0.8
184,0.4,0.1,0.15,0.1,1,1,0.8
185,0.5,0.1,0.15,0.1,1,1,0.8
186,0.6,0.1,0.15,0.1,1,1,0.8
187,0.7,0.1,0.15,0.1,1,1,0.8
188,0.8,0.1,0.15,0.1,1,1,0.8
189,0.9,0.1,0.15,0.1,1,1,0.8
190,0.1,0.1,0.15,0.1,1,1.5,0.8
191,0.2,0.1,0.15,0.1,1,1.5,0.8
192,0.3,0.1,0.15,0.1,1,1.5,0.8
193,0.4,0.1,0.15,0.1,1,1.5,0.8
194,0.5,0.1,0.15,0.1,1,1.5,0.8
195,0.6,0.1,0.15,0.1,1,1.5,0.8
196,0.7,0.1,0.15,0.1,1,1.5,0.8
197,0.8,0.1,0.15,0.1,1,1.5,0.8
198,0.9,0.1,0.15,0.1,1,1.5,0.8
199,0.1,0.1,0.15,0.1,1,2,0.8
200,0.2,0.1,0.15,0.1,1,2,0.8
201,0.3,0.1,0.15,0.1,1,2,0.8
202,0.4,0.1,0.15,0.1,1,2,0.8
203,0.5,0.1,0.15,0.1,1,2,0.8
204,0.6,0.1,0.15,0.1,1,2,0.8
205,0.7,0.1,0.15,0.1,1,2,0.8
206,0.8,0.1,0.15,0.1,1,2,0.8
207,0.9,0.1,0.15,0.1,1,2,0.8
208,0.1,0.1,0.15,0.1,1,2.5,0.8
209,0.2,0.1,0.15,0.1,1,2.5,0.8
210,0.3,0.1,0.15,0.1,1,2.5,0.8
211,0.4,0.1,0.15,0.1,1,2.5,0.8
212,0.5,0.1,0.15,0.1,1,2.5,0.8
213,0.6,0.1,0.15,0.1,1,2.5,0.8
214,0.7,0.1,0.15,0.1,1,2.5,0.8
215,0.8,0.1,0.15,0.1,1,2.5,0.8
216,0.9,0.1,0.15,0.1,1,2.5,0.8
217,0.1,0.1,0.15,0.1,1,3,0.8
218,0.2,0.1,0.15,0.1,1,3,0.8
219,0.3,0.1,0.15,0.1,1,3,0.8
220,0.4,0.1,0.15,0.1,1,3,0.8
221,0.5,0.1,0.15,0.1,1,3,0.8
222,0.6,0.1,0.15,0.1,1,3,0.8
223,0.7,0.1,0.15,0.1,1,3,0.8
224,0.8,0.1,0.15,0.1,1,3,0.8
225,0.9,0.1,0.15,0.1,1,3,0.8
226,0.1,0.1,0.15,0.1,1,3.5,0.8
227,0.2,0.1,0.15,0.1,1,3.5,0.8
228,0.3,0.1,0.15,0.1,1,3.5,0.8
229,0.4,0.1,0.15,0.1,1,3.5,0.8
230,0.5,0.1,0.15,0.1,1,3.5,0.8
231,0.6,0.1,0.15,0.1,1,3.5,0.8
232,0.7,0.1,0.15,0.1,1,3.5,0.8
233,0.8,0.1,0.15,0.1,1,3.5,0.8
234,0.9,0.1,0.15,0.1,1,3.5,0.8
235,0.1,0.1,0.15,0.1,1,4,0.8
