"","V1"
"animation_export",0
"random",1
"random_post_frag",0
"random_community",0
"sample_all",0
"immigration",1
"species_specific_par",0
"kernel_type",1
"edge_effect",1
"print_agents",0
"export_raster",0
"grid_size",50
"habitat_percent",0.35
"spatial_ac",0.9
"frag_factor",0.7
"n_pop",2500
"n_species",500
"niche_breadth",0.05
"steps",40
"steps_pre_frag",30
"steps_post_frag",10
"birth_rate",0.85
"death_rate",0.25
"dispersal",1
"mean_disp",2
"sd_disp",2
"k_inter",2
"k_intra",2
"n_immigrants",50
"n_samples",2
"pos_neg_edge",1
